收藏频道,#genre#
重庆巫山长江大桥,http://178.157.60.73/proxy/1215290450/1215290450.m3u8
湖南张家界天门山景区,http://178.157.60.73/proxy/1114678886/1114678886.m3u8
湖南湘西凤凰古城,http://178.157.60.73/proxy/1244287653/1244287653.m3u8
湖南张家界大峡谷景区,http://178.157.60.73/proxy/848407143/848407143.m3u8

斗鱼电影,#genre#
4K电影,http://allinone.netsite.cc/douyu/9249162
华语电影1,http://allinone.netsite.cc/douyu/122402
华语电影2,http://allinone.netsite.cc/douyu/85894
粤语电影,http://allinone.netsite.cc/douyu/6566671
欧美电影,http://allinone.netsite.cc/douyu/20415
国内惊悚,http://allinone.netsite.cc/douyu/218859
国外惊悚,http://allinone.netsite.cc/douyu/96577
斗鱼电影1,http://allinone.netsite.cc/douyu/747764
斗鱼电影2,http://allinone.netsite.cc/douyu/6140589
斗鱼电影3,http://allinone.netsite.cc/douyu/36337
斗鱼电影4,http://allinone.netsite.cc/douyu/2436390
斗鱼电影5,http://allinone.netsite.cc/douyu/323876
榜单电影,http://allinone.netsite.cc/douyu/8770422

影院,#genre#
星爷 喜剧,https://live.metshop.top/yy/21092633
电影 古惑仔全集,https://live.metshop.top/yy/1354507447
星爷经典-百看不厌,https://live.metshop.top/yy/1382736808
经典港片电影,https://live.metshop.top/yy/1382793140
高分经典电影,https://live.metshop.top/yy/1382754187
经典港片 3000部,https://live.metshop.top/yy/1353059120
24小时播放,https://live.metshop.top/yy/29067083
国外科幻,https://live.metshop.top/yy/1382736800
成龙系列,https://live.metshop.top/yy/1354888751
热播喜剧,https://live.metshop.top/yy/1354936169
战争大片-国外电影,https://live.metshop.top/yy/1382736857
舌尖上的中国第2季,https://live.metshop.top/yy/1354930943
科幻大片,https://live.metshop.top/yy/1382745181
动物世界,https://live.metshop.top/yy/1382749889
国内战争电影,https://live.metshop.top/yy/1382736865
外国科幻大片,https://live.metshop.top/yy/1382747628
上海滩,https://live.metshop.top/yy/1382745184
国内科幻电影,https://live.metshop.top/yy/1354932444
国外高分大片,https://live.metshop.top/yy/1382736867
贾玲春晚小品,https://live.metshop.top/yy/1382736720
射雕英雄传,https://live.metshop.top/yy/1354210357
